year,month,province_ifls1,district_ifls1,province,district,district_name,precip_cm,lat,lon
1950,1,12.0,11.0,12.0,13.0,langkat,26.289999,3.75,98.25
1950,1,54.0,5.0,54.0,,lautem,,-8.25,126.75
1950,1,32.0,2.0,32.0,2.0,lebak,28.439999,-6.75,106.25
1950,1,54.0,10.0,54.0,,likuisa,,5.75,139.75
1950,1,13.0,7.0,13.0,8.0,lima puluh koto,35.4,0.25,100.25
1950,1,52.0,1.0,52.0,1.0,lombok barat,,-8.25,116.25
1950,1,52.0,2.0,52.0,2.0,lombok tengah,22.99,-8.75,116.25
1950,1,52.0,3.0,52.0,3.0,lombok timur,,-8.25,116.75
1950,1,35.0,8.0,35.0,8.0,lumajang,14.910001,-8.25,113.25
1950,1,73.0,17.0,73.0,17.0,luwu,20.99,-2.25,120.75
1950,1,,,73.0,22.0,luwu utara,12.0199995,-2.75,120.25
1950,1,72.0,1.0,72.0,2.0,luwuk/banggai,7.65,-0.75,123.25
1950,1,35.0,19.0,35.0,19.0,madiun,32.55,-7.75,111.75
1950,1,35.0,77.0,35.0,77.0,madiun,32.55,-7.75,111.75
1950,1,33.0,8.0,33.0,8.0,magelang,27.939999,-7.25,110.25
1950,1,33.0,71.0,33.0,71.0,magelang,27.939999,-7.25,110.25
1950,1,35.0,20.0,35.0,20.0,magetan,32.55,-7.75,111.75
1950,1,32.0,12.0,32.0,12.0,majalengka,44.7,-6.75,108.25
1950,1,73.0,20.0,73.0,20.0,majene,,-3.75,118.75
1950,1,35.0,7.0,35.0,7.0,malang,28.289999,-8.25,112.75
1950,1,35.0,73.0,35.0,73.0,malang,28.289999,-8.25,112.75
1950,1,,,64.0,6.0,malinau,20.130001,3.75,116.75
1950,1,81.0,2.0,81.0,3.0,maluku tengah,9.559999,-3.25,128.75
1950,1,81.0,1.0,81.0,2.0,maluku tenggara,,-7.25,131.75
1950,1,81.0,3.0,82.0,,maluku utara,,1.75,128.25
1950,1,73.0,21.0,73.0,21.0,mamuju,8.469999,-1.75,119.75
1950,1,71.0,72.0,71.0,,manado,28.14,1.25,124.75
1950,1,54.0,7.0,54.0,,manatuto,45.25,-8.75,126.25
1950,1,,,12.0,2.0,mandailing natal,37.79,0.75,99.25
1950,1,53.0,12.0,53.0,,manggarai,,-8.25,120.25
1950,1,82.0,7.0,91.0,2.0,manokwari,,-1.25,134.25
1950,1,54.0,3.0,54.0,,manufahi,,5.75,139.75
1950,1,73.0,8.0,73.0,8.0,maros,46.16,-4.75,119.75
1950,1,,,52.0,71.0,mataram,12.0199995,-2.75,120.25
1950,1,12.0,75.0,12.0,75.0,medan,15.219999,3.75,98.75
1950,1,,,15.0,2.0,merangin,33.239998,-1.25,102.25
1950,1,82.0,1.0,93.0,1.0,merauke,38.55,-6.75,139.25
1950,1,,,18.0,72.0,metro,11.3,-5.25,105.25
1950,1,71.0,3.0,71.0,4.0,minahasa,28.14,1.25,124.75
1950,1,35.0,16.0,35.0,16.0,mojokerto,25.26,-7.25,112.75
1950,1,35.0,76.0,35.0,76.0,mojokerto,25.26,-7.25,112.75
1950,1,,,72.0,3.0,morowali,4.43,-1.75,121.75
1950,1,16.0,3.0,16.0,3.0,muara enim,42.629997,-3.75,103.75
1950,1,,,15.0,5.0,muaro jambi,32.22,-1.25,103.75
1950,1,74.0,2.0,74.0,2.0,muna,,-4.75,122.75
1950,1,16.0,6.0,16.0,6.0,musi banyu asin,28.23,-2.25,104.25
1950,1,16.0,5.0,16.0,5.0,musi rawas,43.95,-2.75,102.75
1950,1,,,92.0,2.0,nabire,,-3.25,135.25
1950,1,53.0,11.0,53.0,12.0,ngada,,-8.25,121.25
1950,1,35.0,18.0,35.0,18.0,nganjuk,29.09,-7.75,112.25
1950,1,35.0,21.0,35.0,21.0,ngawi,22.99,-7.25,111.75
1950,1,12.0,1.0,12.0,1.0,nias,,1.25,97.75
1950,1,16.0,2.0,16.0,2.0,ogan komering ilir,27.420002,-3.25,105.25
1950,1,16.0,1.0,16.0,1.0,ogan komering ulu,22.53,-4.25,104.25
1950,1,35.0,1.0,35.0,1.0,pacitan,25.57,-8.25,111.25
1950,1,13.0,71.0,13.0,71.0,padang,34.81,-0.75,100.25
1950,1,13.0,74.0,13.0,74.0,padang panjang,36.16,-0.25,100.25
1950,1,13.0,5.0,13.0,6.0,padang pariaman,34.81,-0.75,100.25
1950,1,62.0,71.0,62.0,71.0,palangka raya,21.14,-2.25,113.75
1950,1,16.0,71.0,16.0,71.0,palembang,24.49,-2.75,104.75
1950,1,,,72.0,71.0,palu,10.059999,-0.75,119.75
1950,1,35.0,28.0,35.0,28.0,pamekasan,,-6.75,113.75
1950,1,32.0,1.0,32.0,1.0,pandeglang,37.48,-6.75,105.75
1950,1,73.0,9.0,73.0,9.0,pangkajene kepulauan,46.16,-4.75,119.75
1950,1,16.0,72.0,16.0,72.0,pangkal pinang,,-2.25,106.25
1950,1,82.0,4.0,,,paniai,30.98,-3.25,136.75
1950,1,73.0,72.0,73.0,72.0,pare-pare,13.69,-4.25,119.75
1950,1,13.0,8.0,13.0,9.0,pasaman,34.47,0.25,99.75
1950,1,64.0,1.0,64.0,1.0,pasir,25.539999,-1.75,116.25
1950,1,35.0,14.0,35.0,14.0,pasuruan,29.77,-7.75,112.75
1950,1,35.0,75.0,35.0,75.0,pasuruan,29.77,-7.75,112.75
1950,1,33.0,18.0,33.0,18.0,pati,24.55,-6.75,111.25
1950,1,13.0,76.0,13.0,76.0,payakumbuh,33.54,-0.25,100.75
1950,1,33.0,26.0,33.0,26.0,pekalongan,,-6.75,109.75
1950,1,33.0,75.0,33.0,75.0,pekalongan,,-6.75,109.75
1950,1,14.0,71.0,14.0,71.0,pekan baru,29.039999,0.75,101.25
1950,1,,,14.0,4.0,pelalawan,22.380001,0.25,102.25
1950,1,33.0,27.0,33.0,27.0,pemalang,,-6.75,109.25
1950,1,,,12.0,73.0,pematang siantar,21.64,2.75,99.25
1950,1,13.0,1.0,13.0,2.0,pesisir selatan,38.739998,-1.25,100.75
